a: 11, b: 10 | Non-Quantized: 3.125e-2 | Quantized: 3.125e-2 | MSE: 0.0
a: 11, b: 11 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 11, b: 12 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 11, b: 13 | Non-Quantized: 1.953125e-2 | Quantized: 3.125e-2 | MSE: 1.373291015625e-4
a: 11, b: 14 | Non-Quantized: 1.5625e-2 | Quantized: 3.125e-2 | MSE: 2.44140625e-4
a: 11, b: 15 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 12, b: 0 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 12, b: 1 | Non-Quantized: 3.125e-2 | Quantized: 0.0 | MSE: 9.765625e-4
a: 12, b: 2 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 12, b: 3 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 12, b: 4 | Non-Quantized: 0.0 | Quantized: 0.0 | MSE: 0.0
a: 12, b: 5 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 12, b: 6 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 12, b: 7 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 12, b: 8 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 12, b: 9 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 12, b: 10 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 12, b: 11 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 12, b: 12 | Non-Quantized: 3.125e-2 | Quantized: 3.125e-2 | MSE: 0.0
a: 12, b: 13 | Non-Quantized: 3.125e-2 | Quantized: 0.0 | MSE: 9.765625e-4
a: 12, b: 14 | Non-Quantized: 0.0 | Quantized: 0.0 | MSE: 0.0
a: 12, b: 15 | Non-Quantized: 0.0 | Quantized: 0.0 | MSE: 0.0
a: 13, b: 0 | Non-Quantized: 3.125e-2 | Quantized: 0.0 | MSE: 9.765625e-4
a: 13, b: 1 | Non-Quantized: 3.125e-2 | Quantized: 0.0 | MSE: 9.765625e-4
a: 13, b: 2 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 13, b: 3 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 13, b: 4 | Non-Quantized: 0.0 | Quantized: 0.0 | MSE: 0.0
a: 13, b: 5 | Non-Quantized: 3.90625e-3 | Quantized: 3.125e-2 | MSE: 7.476806640625e-4
a: 13, b: 6 | Non-Quantized: 1.5625e-2 | Quantized: 3.125e-2 | MSE: 2.44140625e-4
a: 13, b: 7 | Non-Quantized: 3.125e-2 | Quantized: 3.125e-2 | MSE: 0.0
a: 13, b: 8 | Non-Quantized: 3.125e-2 | Quantized: 3.125e-2 | MSE: 0.0
a: 13, b: 9 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 13, b: 10 | Non-Quantized: 1.5625e-2 | Quantized: 3.125e-2 | MSE: 2.44140625e-4
a: 13, b: 11 | Non-Quantized: 1.5625e-2 | Quantized: 3.125e-2 | MSE: 2.44140625e-4
a: 13, b: 12 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 13, b: 13 | Non-Quantized: 0.0 | Quantized: 0.0 | MSE: 0.0
a: 13, b: 14 | Non-Quantized: 0.0 | Quantized: 0.0 | MSE: 0.0
a: 13, b: 15 | Non-Quantized: 0.0 | Quantized: 0.0 | MSE: 0.0
a: 14, b: 0 | Non-Quantized: 0.0 | Quantized: 0.0 | MSE: 0.0
a: 14, b: 1 | Non-Quantized: 3.125e-2 | Quantized: 0.0 | MSE: 9.765625e-4
a: 14, b: 2 | Non-Quantized: 3.125e-2 | Quantized: 3.125e-2 | MSE: 0.0
a: 14, b: 3 | Non-Quantized: 2.734375e-2 | Quantized: 3.125e-2 | MSE: 1.52587890625e-5
a: 14, b: 4 | Non-Quantized: 1.5625e-2 | Quantized: 0.0 | MSE: 2.44140625e-4
a: 14, b: 5 | Non-Quantized: 1.953125e-2 | Quantized: 3.125e-2 | MSE: 1.373291015625e-4
a: 14, b: 6 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 14, b: 7 | Non-Quantized: 1.5625e-2 | Quantized: 3.125e-2 | MSE: 2.44140625e-4
a: 14, b: 8 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
